Q0010	""	1
Q0017	""	1
Q0032	""	1
Q0045	COX1	1
Q0050	AI1	1
Q0055	AI2	1
Q0060	AI3	1
Q0065	AI4	1
Q0070	AI5_ALPHA	1
Q0075	AI5_BETA	1
Q0080	ATP8	1
Q0085	ATP6	1
Q0092	""	1
Q0105	COB	1
Q0110	BI2	1
Q0115	BI3	1
Q0120	BI4	1
Q0130	OLI1	1
Q0140	VAR1	1
Q0142	""	1
Q0143	""	1
Q0144	""	1
Q0160	SCEI	1
Q0182	""	1
Q0250	COX2	1
Q0255	""	1
Q0275	COX3	1
Q0297	""	1
YAL001C	TFC3	-1
YAL002W	VPS8	1
YAL003W	EFB1	1
YAL004W	""	1
YAL005C	SSA1	-1
YAL007C	ERP2	-1
YAL008W	FUN14	1
YAL009W	SPO7	1
YAL010C	MDM10	-1
YAL011W	SWC3	1
YAL012W	CYS3	1
YAL013W	DEP1	1
YAL014C	SYN8	-1
YAL015C	NTG1	-1
YAL016C-A	""	-1
YAL016C-B	""	-1
YAL016W	TPD3	1
YAL017W	PSK1	1
YAL018C	LDS1	-1
YAL019W	FUN30	1
YAL019W-A	""	1
YAL020C	ATS1	-1
YAL021C	CCR4	-1
YAL022C	FUN26	-1
YAL023C	PMT2	-1
YAL024C	LTE1	-1
YAL025C	MAK16	-1
YAL026C	DRS2	-1
YAL026C-A	""	-1
YAL027W	SAW1	1
YAL028W	FRT2	1
YAL029C	MYO4	-1
YAL030W	SNC1	1
YAL031C	GIP4	-1
YAL031W-A	""	1
YAL032C	PRP45	-1
YAL033W	POP5	1
YAL034C	FUN19	-1
YAL034C-B	""	-1
YAL034W-A	MTW1	1
YAL035W	FUN12	1
YAL036C	RBG1	-1
YAL037C-A	""	-1
YAL037C-B	""	-1
YAL037W	""	1
YAL038W	CDC19	1
YAL039C	CYC3	-1
YAL040C	CLN3	-1
YAL041W	CDC24	1
YAL042C-A	""	-1
YAL042W	ERV46	1
YAL043C	PTA1	-1
YAL044C	GCV3	-1
YAL044W-A	BOL1	1
YAL045C	""	-1
YAL046C	BOL3	-1
YAL047C	SPC72	-1
YAL047W-A	""	1
YAL048C	GEM1	-1
YAL049C	AIM2	-1
YAL051W	OAF1	1
YAL053W	FLC2	1
YAL054C	ACS1	-1
YAL055W	PEX22	1
YAL056C-A	""	-1
YAL056W	GPB2	1
YAL058W	CNE1	1
YAL059C-A	""	-1
YAL059W	ECM1	1
YAL060W	BDH1	1
YAL061W	BDH2	1
YAL062W	GDH3	1
YAL063C	FLO9	-1
YAL063C-A	""	-1
YAL064C-A	TDA8	-1
YAL064W	""	1
YAL064W-B	""	1
YAL065C	""	-1
YAL066W	""	1
YAL067C	SEO1	-1
YAL067W-A	""	1
YAL068C	PAU8	-1
YAL068W-A	""	1
YAL069W	""	1
YAR002C-A	ERP1	-1
YAR002W	NUP60	1
YAR003W	SWD1	1
YAR007C	RFA1	-1
YAR008W	SEN34	1
YAR014C	BUD14	-1
YAR015W	ADE1	1
YAR018C	KIN3	-1
YAR019C	CDC15	-1
YAR019W-A	""	1
YAR020C	PAU7	-1
YAR023C	""	-1
YAR027W	UIP3	1
YAR028W	""	1
YAR029W	""	1
YAR030C	""	-1
YAR031W	PRM9	1
YAR033W	MST28	1
YAR035C-A	""	-1
YAR035W	YAT1	1
YAR042W	SWH1	1
YAR047C	""	-1
YAR050W	FLO1	1
YAR053W	""	1
YAR060C	""	-1
YAR064W	""	1
YAR066W	""	1
YAR068W	""	1
YAR069C	""	-1
YAR070C	""	-1
YAR071W	PHO11	1
YAR073W	IMD1	1
YAR075W	""	1
YBL001C	ECM15	-1
YBL002W	HTB2	1
YBL003C	HTA2	-1
YBL004W	UTP20	1
YBL005W	PDR3	1
YBL006C	LDB7	-1
YBL006W-A	""	1
YBL007C	SLA1	-1
YBL008W	HIR1	1
YBL008W-A	""	1
YBL009W	ALK2	1
YBL010C	""	-1
YBL011W	SCT1	1
YBL012C	""	-1
YBL013W	FMT1	1
YBL014C	RRN6	-1
YBL015W	ACH1	1
YBL016W	FUS3	1
YBL017C	PEP1	-1
YBL018C	POP8	-1
YBL019W	APN2	1
YBL020W	RFT1	1
YBL021C	HAP3	-1
YBL022C	PIM1	-1
YBL023C	MCM2	-1
YBL024W	NCL1	1
YBL025W	RRN10	1
YBL026W	LSM2	1
YBL027W	RPL19B	1
YBL028C	""	-1
YBL029C-A	""	-1
YBL029W	""	1
YBL030C	PET9	-1
YBL031W	SHE1	1
YBL032W	HEK2	1
YBL033C	RIB1	-1
YBL034C	STU1	-1
YBL035C	POL12	-1
YBL036C	""	-1
YBL037W	APL3	1
YBL038W	MRPL16	1
YBL039C	URA7	-1
YBL039C-A	""	-1
YBL039W-B	MIN6	1
YBL040C	ERD2	-1
YBL041W	PRE7	1
YBL042C	FUI1	-1
YBL043W	ECM13	1
YBL044W	""	1
YBL045C	COR1	-1
YBL046W	PSY4	1
YBL047C	EDE1	-1
YBL048W	RRT1	1
YBL049W	MOH1	1
YBL050W	SEC17	1
YBL051C	PIN4	-1
YBL052C	SAS3	-1
YBL053W	""	1
YBL054W	TOD6	1
YBL055C	""	-1
YBL056W	PTC3	1
YBL057C	PTH2	-1
YBL058W	SHP1	1
YBL059C-A	CMC2	-1
YBL059W	IAI11	1
YBL060W	YEL1	1
YBL061C	SKT5	-1
YBL062W	""	1
YBL063W	KIP1	1
YBL064C	PRX1	-1
YBL065W	""	1
YBL066C	SEF1	-1
YBL067C	UBP13	-1
YBL068W	PRS4	1
YBL068W-A	""	1
YBL069W	AST1	1
YBL070C	""	-1
YBL071C	""	-1
YBL071C-B	""	-1
YBL071W-A	KTI11	1
YBL072C	RPS8A	-1
YBL073W	""	1
YBL074C	AAR2	-1
YBL075C	SSA3	-1
YBL076C	ILS1	-1
YBL077W	""	1
YBL078C	ATG8	-1
YBL079W	NUP170	1
YBL080C	PET112	-1
YBL081W	""	1
YBL082C	ALG3	-1
YBL083C	""	-1
YBL084C	CDC27	-1
YBL085W	BOI1	1
YBL086C	""	-1
YBL087C	RPL23A	-1
YBL088C	TEL1	-1
YBL089W	AVT5	1
YBL090W	MRP21	1
YBL091C	MAP2	-1
YBL091C-A	SCS22	-1
YBL092W	RPL32	1
YBL093C	ROX3	-1
YBL094C	""	-1
YBL095W	MRX3	1
YBL096C	""	-1
YBL097W	BRN1	1
YBL098W	BNA4	1
YBL099W	ATP1	1
YBL100C	""	-1
YBL100W-C	""	1
YBL101C	ECM21	-1
YBL102W	SFT2	1
YBL103C	RTG3	-1
YBL104C	SEA4	-1
YBL105C	PKC1	-1
YBL106C	SRO77	-1
YBL107C	MIX23	-1
YBL107W-A	""	1
YBL108C-A	PAU9	-1
YBL108W	""	1
YBL109W	""	1
YBL111C	""	-1
YBL112C	""	-1
YBL113C	""	-1
YBL113W-A	""	1
YBR001C	NTH2	-1
YBR002C	RER2	-1
YBR003W	COQ1	1
YBR004C	GPI18	-1
YBR005W	RCR1	1
YBR006W	UGA2	1
YBR007C	DSF2	-1
YBR008C	FLR1	-1
YBR009C	HHF1	-1
YBR010W	HHT1	1
YBR011C	IPP1	-1
YBR012C	""	-1
YBR013C	""	-1
YBR014C	GRX7	-1
YBR015C	MNN2	-1
YBR016W	""	1
YBR017C	KAP104	-1
YBR018C	GAL7	-1
YBR019C	GAL10	-1
YBR020W	GAL1	1
YBR021W	FUR4	1
YBR022W	POA1	1
YBR023C	CHS3	-1
YBR024W	SCO2	1
YBR025C	OLA1	-1
YBR026C	ETR1	-1
YBR027C	""	-1
YBR028C	YPK3	-1
